Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Melissa M.,Construction Accountant,"Construction, 51-200 employees",1-2 years,5,5,,5,,10,Capterra,18/10/2022,,The pros are that Quickbooks literally links with most if not all platforms we have used in this industry. Honestly it makes our lives so easy,It goes down a lot or its super super slow to get onto.
Jeremy M.,Managing Director,"Accounting, 1-10 employees",2+ years,1,1,1,1,1,1,SoftwareAdvice,20/08/2020,OK except for the loading of banking data and overall security of QB.,Reports,Loading the data from our bank to QB.   
Cameron S.,President,"Recreational Facilities and Services, 11-50 employees",1-2 years,3,3,1,3,3,1,SoftwareAdvice,20/07/2020,"When it works it works fine.  When it doesn't work expect to waste hours online with someone who knows the software less than you do, trying to solve the problem. ",It was reasonably easy to set up and connect to my POS system and bank accounts,"They make changes to the system without customer input and force those changes onto their user base, even if they don't work well.  When trying to get support they force you to submit questions to the community, or IM a support ""specialist"" who has rudimentary knowlege of how to use Quickbooks online and no idea how to investigate a problem. They don't offer any option to email support."
David C.,CEO,"Hospitality, 1-10 employees",Less than 6 months,3,3,1,2,1,0,SoftwareAdvice,11/06/2020,"I signed up for a 12 month promotion for 60% off from my bank, After two months my account was cancelled and I needed to go back to the full price plan. When I called to complain one manager agreed to honour the promotion but never did. Same with the second manager. They are liars and say whatever they have to to get you off the phone. ","I didn't really get that much of a chance to go through the product. I only used it for two months, before the company pulled my 12 month promotion and put me back up to full price. ","I lack of accountability with supervisors. The fact that in there contract it says they can change pricing on you anytime without notice (which they did to me) and the fact that they do not keep records of customer calls, and every-time you speak with them, you need to start over, and nothing ever gets resolved. "
Stephanie L.,Marketing Manager,"Food & Beverages, 1-10 employees",1-2 years,4,5,5,5,4,8,Capterra,11/12/2019,It's been great. Easy to use. I'm sure there's a ton of other functions that it does that we could benefit from but we haven't taken the time to explore them. ,It does what we need for the company right now. ,It often likes to link checks to the wrong invoice. That's my biggest annoyance. 
Maureen O.,Buyer,"Retail, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,"I  am able to invoice, do my purchase orders and many other functions.",The program is very easy to use and easy to learn.,It would be great if reports were easier to achieve.
Nicole C.,Office Manager,"Construction, 11-50 employees",6-12 months,4,3,5,4,,8,Capterra,11/12/2019,"We have been using QBO much of 2019 and do look forward to upgrades, updates, and continued learning opportunities to improve our usage of the product and find out how it can help our workflow every day!","I appreciate the ease of being able to do simply daily tasks like invoicing customers, receiving payments, and logging bills and expenses.","Often, there seems to be a glitch in reports or some finagling that needs to happen to organize reporting."
Lisa F.,Chief Operating Officer,"Hospital & Health Care, 11-50 employees",Less than 6 months,4,4,3,4,4,9,Capterra,11/12/2019,"Every feature that I have used so far has been pleasantly easy, however I have just come on board and have a lot to learn about all the features of QB advanced.","I like the ease of use and logic of the software.  I moved from a much larger facility and we used other financial software, but I will have to say that this is easier to use and the sequence of the workflow makes more sense to me.","Our company is a small healthcare facility and sometimes there are rigid rules.  Its almost like were are trying to take a ""business"" software and fit it into our needs of the clinic and vendors.  It would really be nice if there was a QB specifically for small healthcare facilities"
Mariana G.,Finance and Admin Director,"Leisure, Travel & Tourism, 1-10 employees",2+ years,4,5,4,4,4,10,Capterra,11/12/2019,"Becuase of our type of business and operation we have a lot of credit cards, and it is very useful to have an individual account for each credit card and the syncing procees with the bank is also very efficient. ",I really like the fact that it is really intuitive and user friendly software.,"When uploading bulks of data from other software (Eg. Stripe) we are not able to assign an independent Location to each transaction. Also, we haven't been able to link STRIPE to QuickBooks. "
Shawn G.,Financial Analyst,"Non-Profit Organization Management, 51-200 employees",Less than 6 months,5,4,5,5,4,9,Capterra,11/12/2019,Tremendous product with tons of features if you take the time to learn how to use them properly. ,Quick Books has done a tremendous job making it possible to flow from one project to the next using their Online Advanced platform. It has made our life as an organization far easier than I could have imagined. ,"Being new to the Quickbooks online world as I stepped into my new role, I found it to be a steeper learning curve from what I thought I knew. I will say the investment in taking the time to learn has certainly been worth it. "
Stephanie R.,Accounts Payable,"Facilities Services, 11-50 employees",1-2 years,5,5,4,5,5,10,Capterra,11/12/2019,"I was nervous about using QuickBooks for the first time, but overall it has been the easiest of all programs I have ever used.",It is always upgrading and advancing making our time of more value,That the Bills do not have a place for the Work Order numbers like the invoice side does.
Tonya M.,Office Manager,"Religious Institutions, 11-50 employees",6-12 months,4,5,4,4,4,9,Capterra,11/12/2019,We were in need of a large number of chart of accounts and moving to QBOA was a necessity for us as we could not get what we needed another way.  It functions much the same as QBO but with more features for those who need them.,The product is very user-friendly and makes my job easier.,"Quite often items/functions are moved around, so if you are in a rush for something it may take a few minutes to adjust to where the item/function now resides."
Verified Reviewer,,", Unspecified",6-12 months,5,4,4,5,4,8,GetApp,18/02/2019,,"As a small business owner, quickbooks has been an effective tool to help organize financial data and keep it all in one place. It is nice to have the ability to take credit cards (with a 2.5% fee)","You can connect all your bank accounts, which is helpful. Sometimes if you buy something for your business outside of your bank account (e.g. you use cash or someone else buys it) then it takes longer to input that expense into your quickbooks"
Moe R.,,"Marketing and Advertising, 1-10 employees",2+ years,4,3,,5,3,6,GetApp,15/05/2018,,"- Very complete: Quickbooks is the granddaddy of bookkeeping apps. If there is a feature anyone has ever needed in the history of humanity, it's here!

- Very fast to use once you become reasonably expert.","- Greedy company. They reeeeally want your upgrade fees. When I upgraded my Mac OS, one, and only one, app quit running: Quickbooks. Which meant that my data was held hostage -- NO CHOICE but to upgrade my Quickbooks. 

- Can be pretty complex for non-bookkkeepers to use"
Verified Reviewer,,"Banking, 201-500 employees",2+ years,5,5,5,5,4,10,GetApp,10/01/2018,,"Once you get moving with the program it is easy to input everything. Invoicing was easy, remembers customer's information. Making paid automatically sets up your bank deposit or GLs if needed. Most banks have an option for an import to this program and most bank's customer service line can help with the export/import process.",The initial set up is intensive. Bringing in historic data took a while. Wait until the end of a financial year to integrate.
