Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Kelly W,5,2022-02-24,The toys are durable and good quality,The toys are durable and good quality.  Bongo loves all the snacks.  I can't wait to see his reaction when box 2 gets here.  He loved it!,2022-02-24,0
Sara Zgonc,5,2022-02-25,I've never had any other subscription…,I've never had any other subscription boxes before and I'm really glad I finally decided to do this I thought about it for over a year before I did it and now I'm really happy about my decision I recommend anyone not sure about it just do it it's really worth it . Thanks bark box!,2022-02-25,0
Becky Clapper,5,2022-02-25,Great Experience,"My first time experience with BarkBox has been wonderful. I was choosing between chewy or BarkBox for a monthly subscription for my 1-year-old golden retriever. I'm so happy I decided to go with Barkbox.
The first shipment that my puppy got she loved the treats but some of the plush toys did not last very long. I contacted customer service and they took care of everything and are sending me a replacement for the ones that didn't last very long.",2022-02-25,0
Jan Ferguson,5,2022-02-25,Bandit loves getting new toys and…,Bandit loves getting new toys and treats! Great quality and durability plus he plays with the toys! I don’t have to go out shopping either!,2022-02-25,0
DeAndrea Love,5,2022-02-25,I really enjoyed the items I received…,"I really enjoyed the items I received in my BarkBox, my puppy also loves the toys.",2022-02-25,0
Moriah Jurgonski,5,2022-02-25,Our monthly day of fun and excitement!,"Our dog October is a mix of doberman, shepard and pit. She loves to chew and we wanted her to chew on appropriate things. One day we saw an ad for BarkBox and we signed her up. She absolutely loves the toys and treats she receives monthly and so do we! When the postal worker delivers the box she dances and can't keep her nose off it until we open the box always taking a toy out of it...then asks for the treat. It's a fantastic day of fun upon receiving her barkbox!!",2022-02-25,0
Carol R. ,5,2022-02-25,Bailey loved your first bark box,Bailey loved your first bark box. She ate her beef stick right off and both of the treats in bags she LOVED! And her toys she already loves playing with all of them. Thanks,2022-02-25,0
Buster/Kathy Lee,5,2022-02-25,Keep up the great Barking,"Keep up the great Barking, First time customer and my pup and I could not be happier. He absolutely loved his first bark box. We can’t wait for next month.",2022-02-25,0
Lori Hepler,5,2022-02-25,These folks are just awesome,"These folks are just awesome,  whatever the issue you have, they fix it immediately.  The toys are always super cute and my dogs always love them.",2022-02-25,0
Tracy,5,2022-02-25,My boy loves his BarkBox!,"My standard poodle loves his BarkBox. He knows the box is for him and opens it by himself. He immediately pulls out the toys and the squeaking begins!
The toys are well made. He has yet to destroy a BarkBox soft toy. He likes most of the treats. The one he didn't care for the company quickly switched. 
I have contacted the company twice with more than satisfactory outcome. Have recommended BarkBox to friends and their dogs love it too.",2022-02-25,0
Christiana Gardner,5,2022-02-25,We love the bark box,"We love the bark box! Our one dog is a super chewer and destroys toys quickly, but theirs lasts many months (some have made it a year now) and every month my dogs have a new favorite toy. They also love the treats. They know now what the box looks like and struggle to contain their excitement between when we bring it in to when we open it for them.",2022-02-25,0
Julie,4,2022-02-25,The best!!,Our dogs love their monthly Barkbox!!!,2022-02-25,0
Jodie Green,5,2022-02-25,The toys always withstand my Mastiffs…,The toys always withstand my Mastiffs chewing habits! He gets do excited when the box comes in the mail.,2022-02-25,0
Plantas y Mas,5,2022-02-25,Our first bark box was a hit with our…,Our first bark box was a hit with our pup. He has been enjoying the treats and plays with the toys included. We are looking forward to our next bark box next month.,2022-02-25,0
Francine Mainolfi,5,2022-02-23,Finally found toys tough enough to…,"Finally found toys tough enough to stand up to my dog, and he absolutely loves the jerky and treats!",2022-02-23,0
CAO,5,2022-02-23,Best customer service ever!,"I have never dealt with a company that followed up on their customer’s like Barkbox. I had a unique situation in that my puppy passed away shortly after I got my first box. I received the kindest email from an employee expressing their condolences. We were able to adopt Murphy’s brother and I had asked to change the contents of the box and that was done without any problems.
Again this company knows the true meaning of customer service!!",2022-02-23,0
Robin,5,2022-02-23,Lola loves BarkBox!,Lola loves BarkBox!!  Although she is a little girl (15 pounds) she is a pretty aggressive chewer.  She gets the Super Chewer Box for medium dogs.  She especially loves the fabric covered toys and the bags of treats.,2022-02-23,0
Catherine Leahy,3,2022-02-23,She liked most things but loves a good…,She liked most things but loves a good squeaker and there wasn't  any,2022-02-23,0
Claudine Henderson,4,2022-02-23,Happy Yorkie's,"Puos love the toys .
Pj to big 
Snacks could be a little smaller.",2022-02-23,0
Angeline Ryan,5,2022-02-23,"Love bark box, highly recommend!",Love bark box. The boxes are high-quality toys and treats that my dog loves.  Also their customer service is beyond wonderful. Great company and I am very happy to support and recommend to others! Thank you bark box!,2022-02-23,0
Denise L,5,2022-02-23,Good Job!,"Thank you! My first time with BarkBox. My 2 adult children encouraged me to try it for my 12 year old Papillion, Sabrina, after their positive experiences with their dogs.",2022-02-23,0
Valerie Bailey,5,2022-02-23,I was happy with the toys and treats,I was happy with the toys and treats. Cant wait for next box.,2022-02-23,0
Robin Seitz,5,2022-02-24,My dog loves the treats and the toys…,My dog loves the treats and the toys that make the cracking noise.,2022-02-24,0
Sara S.,5,2022-02-24,Best toys,Barkbox makes really good quality toys and treats! I would recommend them to anyone who has dogs!,2022-02-24,0
Toshira,5,2022-02-24,BarkBox has excellent customer service…,"BarkBox has excellent customer service and products. Finding out how helpful they are, will definitely make me continue to buy their products and keep my subscription!",2022-02-24,0
Heidi Chelius,5,2022-02-24,My chocolate lab puppy LOVED the super…,My chocolate lab puppy LOVED the super chewer box!!! I was a little worried she may have been too young at 4 1/2 months but they were good for her!!! She destroys stuffing toys but not the super chewers! Looking forward to our next delivery!!,2022-02-24,0
Farrah Boland,5,2022-02-24,Yes!!!,Khloe absolutely loved everything in her first barkbox..we can't wait for the second one to arrive!!,2022-02-24,0
Teresa Stansell,5,2022-02-24,Bark Box is the real deal.,"Bark Box is the real deal.  Boxes of toys and treats delivered to your house for your pups, what’s not to like?  After one box, their “stellar” customer service was attentive and inquiring how to improve your dog’s experience and your own satisfaction.  In a time where customer service is severely lacking, they are the leaders of how it should be.  Thank you!🥰",2022-02-24,0
Baxter’s Mom,4,2022-02-24,"I love Bark Box, but not renewal.","I love Bark Box! The puppy toys and treats are just perfect for our crew.  Our family enjoys all the giggles written on the boxes about the chew toys.   
The only problem is that any time we purchase any item it is automatically renewed.  So if you think you are only purchasing a one time gift … your not !!! You have to read all the information when you purchase a product to realize the renewal does not stop.  I had to contact customer service and they told me how to go into my account to stop renewal. They also told me they could stop the renewal.  BUT you have to tell them not to renew or you will end up spending more money than anticipated.",2022-02-24,0
Katelyn Stephens,5,2022-02-24,Love bark box,Love bark box! Quality toys and treats delivered straight to your door!,2022-02-24,0
Blue Berry,5,2022-02-22,Awesome box and my pup loved it!!,Awesome box and my pup loved it!!! Loved the packaging and all the items inside Blue absolutely loved!,2022-02-22,0
Erica Catron,5,2022-02-22,We love love love Barkbox,"We love love love Barkbox! They sent us treats and chews that work with his allergies. The toys were super cute and lasted longer than I expected. I didn't realize until later that there is a super chewer box, which is my fault for not paying attention, so I'm hoping to switch to it for our next box! While having a husky/German shepherd mix, toys don't last long but even the basic ones lasted him days which is hard to come by!",2022-02-22,0
Tom and Sue ,5,2022-02-22,We love Bark Box and our parents do…,"We love Bark Box and our parents do too. We can “scents” when our box arrives each month. Thank you for our treat from Bruno, Ash, and our pup parents, Sue and Tom.",2022-02-22,0
Chelsea,5,2022-02-22,Worth the money for your pup!,My pup loves his toys. The quality of the toys and treats is so good and the customer service can’t be beat!,2022-02-22,0
